Water Company Name,"Site Name
(EA Consents Database)","Site Name
(WaSC operational)
[optional]","EA Permit Reference
(EA Consents Database)","WaSC Supplementary Permit Ref.
[optional]",Activity Reference on Permit,Storm Discharge Asset Type,"Outlet Discharge NGR
(EA Consents Database)","WFD Waterbody ID (Cycle 2)
(discharge outlet)","WFD Waterbody Catchment Name (Cycle 2)
(discharge outlet)","Receiving Water / Environment (common name)
(EA Consents Database)",Shellfish Water (only populate for storm overflow with a Shellfish Water EDM requirement),Bathing Water (only populate for storm overflow with a Bathing Water EDM requirement),"Treatment Method
(over & above Storm Tank settlement / screening)",Initial EDM Commission Date,Total Duration (hrs) all spills prior to processing through 12-24h count method,Counted spills using 12-24h count method,Long-term average spill count,"No. full years EDM data
(years)","EDM Operation -
% of reporting period EDM operational","EDM Operation -
Reporting % -
Primary Reason <90%","EDM Operation -
Action taken / planned -
Status & timeframe","High Spill Frequency -
Operational Review -
Primary Reason","High Spill Frequency -
Action taken / planned -
Status & timeframe","High Spill Frequency -
Environmental Enhancement -
Planning Position (Hydraulic capacity)",,Grid reference,Latitude,Longitude
Northumbrian Water,BURWELL AVENUE CSO,6NW000009,235/1877,235/1877,,SO on sewer network,NZ1965063980,GB510302310200,TYNE,RIVER TYNE SALINE ESTUARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,97.00,46,44.1,10 (installed pre-2013),99.85%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,,,NZ1965063980,54.970057,-1.694586
Northumbrian Water,BUSTY BANK CSO,6NW801053,234/0992,234/0992,,SO on sewer network,NZ1765057280,GB103023074790,Derwent from Burnhope Burn to River Tyne,LEAPMILL BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,73.00,41,37.2,10 (installed pre-2013),79.39%,Comms failure / issue,Resolved - Mar,,,,,NZ1765057280,54.909924,-1.726236
Northumbrian Water,BUSTY BANK CSO,6NW801054,234/1016,234/1016,,SO on sewer network,NZ1770057190,GB103023074790,Derwent from Burnhope Burn to River Tyne,LEAPMILL BURN TRIB,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,1.1,10 (installed pre-2013),99.99%,,,,,,,NZ1770057190,54.909113,-1.725462
Northumbrian Water,BUSTY BANK STORM SEWAGE OVERFLOW,6NW801052,234/0951,234/0951,,SO on sewer network,NZ1760057070,GB103023074790,Derwent from Burnhope Burn to River Tyne,LEAPMILL BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.25,1,1.6,10 (installed pre-2013),99.97%,,,,,,,NZ1760057070,54.908038,-1.727029
Northumbrian Water,BUTSFIELD LANE CSO DER092,6NW800975,244/1011,244/1011,,SO on sewer network,NZ1218648274,GB103024077330,"Smallhope Burn from Source to Browney, Stocke",SMALLHOPE BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,112.75,58,50.3,10 (installed pre-2013),99.61%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_IMP4 driver - Stage 4: Potential spill reduction scheme - Not yet on current WINEP/AMP or Green Recovery,,NZ1218648274,54.829155,-1.811836
Northumbrian Water,BUTTERKNOWLE CSO 2,6NW000029,#TBC,Permit Anomaly,To be permitted for storm,SO on sewer network,NZ1148325442,GB103024072690,Gaunless from Source to Hummer Beck,River Gaunless,,,Not Applicable,Commissioned in 2019 - full year data expected,382.53,79,56.0,3 (installed 2019),99.99%,,,N/A - Ongoing investigation,Scheduled,,,NZ1148325442,54.623991,-1.823671
Northumbrian Water,BUTTERKNOWLE SEWAGE TREATMENT WORKS,6NW800719,242/1070,242/1070,A2,Storm tank at WwTW,NZ1178325593,GB103024072690,Gaunless from Source to Hummer Beck,GAUNLESS,,,Not Applicable,Commissioned in 2020 - full year data expected,,,42.0,3 (installed 2019),0%,Installation set-up/design issue,Resolved - January after reporting year,N/A - Ongoing investigation,N/A - Ongoing investigation,,,NZ1178325593,54.625341,-1.819018
Northumbrian Water,BUTTERYHAUGH PS,6NW800484,231/0965,231/0965,231/0965-01,Storm discharge at pumping station,NY6320092950,GB103023075081,N Tyne from Source to Lewis Burn,NORTH TYNE,,,Not Applicable,Commissioned in 2020 - full year data expected,48.89,9,17.3,3 (installed 2019),99.25%,,,,,,,NY6320092950,55.229384,-2.580118
Northumbrian Water,BYDALE SCHOOL CSO,6NW801615,25/06/1019,25/06/1019,,SO on sewer network,NZ6297222796,GB650301500005,Tees Coastal,NORTH SEA,,Marske,Not Applicable,Commissioned pre-2016 - full year data expected,10.33,20,23.6,10 (installed pre-2013),96.85%,,,,,,,NZ6297222796,54.596431,-1.026865
Northumbrian Water,BYERS GREEN PUMPING STATION,6NW800525,243/0959,243/0959,243/0959-02,Storm discharge at pumping station,NZ2199034710,GB103024077464,Wear from Gaunless to Browney,RIVER WEAR,,,Not Applicable,Commissioned in 2020 - full year data expected,113.43,21,38.0,3 (installed 2019),99.97%,,,,,,,NZ2199034710,54.706932,-1.66025
Northumbrian Water,CALDBECK AVE POTTERY BANK CSO,6NW800341,235/1326,235/1326,,SO on sewer network,NZ2890162949,GB510302310200,TYNE,RIVER TYNE ESTUARY,,,Not Applicable,Commissioned in 2018 - full year data expected,71.90,23,22.0,4 (installed 2018),100%,,,,,,,NZ2890162949,54.960344,-1.550188
Northumbrian Water,CALDBECK AVENUE/POTTERY BANK CSO,6NW801317,235/1325,235/1325,,SO on sewer network,NZ2890162949,GB510302310200,TYNE,TYNE ESTUARY,,,Not Applicable,Commissioned in 2018 - full year data expected,2.97,8,5.0,4 (installed 2018),100%,,,,,,,NZ2890162949,54.960344,-1.550188
Northumbrian Water,CALDBECK CL BELMONT ST ANTHONYS CSO,6NW800340,235/1324,235/1324,,SO on sewer network,NZ2890162949,GB510302310200,TYNE,RIVER TYNE ESTUARY,,,Not Applicable,Commissioned in 2018 - full year data expected,32.44,37,32.2,5 (installed 2017),100%,,,,,,,NZ2890162949,54.960344,-1.550188
Northumbrian Water,CALEDONIAN ST / WILLIAM ST D17-103 STY056,6NW801672,#TBC,Permit Anomaly,To be permitted for storm,SO on sewer network,NZ3063565667,GB510302310200,TYNE,River Tyne,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,0.0,10 (installed pre-2013),99.99%,,,,,,,NZ3063565667,54.984664,-1.52282
Northumbrian Water,CALF FALLOW LANE SPS,6NW800626,25/04/1790,25/04/1790,25/04/1790-01,Storm discharge at pumping station,NZ4392022940,GB103025076010,Billingham Beck from Brierley Beck to Tees Es,UNNAMED TRIB OF BILLINGHAM BEK,,,Not Applicable,Commissioned pre-2016 - full year data expected,7.50,4,4.1,10 (installed pre-2013),91.78%,,,,,,,NZ4392022940,54.599736,-1.321694
Northumbrian Water,CALIFORNIA ROW CSO,6NW800227,251/0863,251/0863,,SO on sewer network,NY9513224887,GB103025072511,Tees from Maize Beck to Percy Beck,RIVER TEES,,,Not Applicable,Commissioned in 2017 - full year data expected,2.25,2,3.0,5 (installed 2017),80.90%,Sensor failure / issue,Resolved - Sep,,,,,NY9513224887,54.619107,-2.076901
Northumbrian Water,CAMBOIS SEWAGE TREATMENT WORKS,6NW800170,226/1119,226/1119,226/1119-03,Inlet SO at WwTW,NZ3283084320,GB650301500002,Tyne and Wear,THE NORTH SEA,,,Not Applicable,Commissioned in 2020 - full year data expected,,,5.0,3 (installed 2019),0%,Installation set-up/design issue,N/A - Ongoing investigation,,,,,NZ3283084320,55.152135,-1.486381
Northumbrian Water,CANTEBURY ROAD CSO,6NW801275,245/1154,245/1154,,SO on sewer network,NZ2805044540,GB103024077621,Wear from Croxdale Beck to Lumley Park Burn,WEAR TRIB,,,Not Applicable,Commissioned pre-2016 - full year data expected,34.75,21,22.3,10 (installed pre-2013),99.97%,,,,,,,NZ2805044540,54.794967,-1.56526
Northumbrian Water,CAR PARK CSO,6NW801626,210/1344,210/1344,,SO on sewer network,NU0018151930,GB510202110000,TWEED,RIVER TWEED (SALINE ESTUARY),,Spittal,Not Applicable,Commissioned pre-2016 - full year data expected,35.30,30,30.1,8 (installed 2014),99.99%,,,,,,,NU0018151930,55.760724,-1.998683
Northumbrian Water,CARGO FLEET STW  (OUTLET B),6NW800656,254/1514,QR.25/04/1514,25/04/1514 S3,Storm discharge at pumping station,NZ5150020830,GB510302509900,TEES,River Tees,,,Not Applicable,Commissioned in 2020 - full year data expected,561.82,104,62.0,2 (installed 2020),100%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",,NZ5150020830,54.580062,-1.204746
Northumbrian Water,CARGO FLEET STW  (OUTLET B),6NW800657,254/1514,QR.25/04/1514,25/04/1514 S2,Storm discharge at pumping station,NZ5158120488,GB510302509900,TEES,Ormsby Beck,,,Not Applicable,Commissioned in 2020 - full year data expected,104.68,32,49.0,2 (installed 2020),100%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",,NZ5158120488,54.57698,-1.203553
Northumbrian Water,CARLTON & REDMARSHALL STW,6NW800790,25/04/1706,25/04/1706,25/04/1706-03,Storm tank at WwTW,NZ3848022230,GB103025072360,Billingham Beck from Bishopton Bck to Brierle,WHITTON BECK,,,Not Applicable,Commissioned in 2020 - full year data expected,173.07,33,32.0,3 (installed 2019),99.87%,,,,,,,NZ3848022230,54.593798,-1.405985
Northumbrian Water,CARLTON IN CLEVELAND STW,6NW800194,25/04/1800,25/04/1800,A2,Inlet SO at WwTW,NZ5066004980,GB103025071880,Leven from Tame to River Tees,ALUM BECK LEVEN CATCHMENT,,,Not Applicable,Commissioned in 2020 - full year data expected,164.81,64,62.3,3 (installed 2019),99.95%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",,NZ5066004980,54.437717,-1.220456
Northumbrian Water,CARLTON PUMPING STATION,6NW800611,254/D/0172,254/D/0172,A1,Storm discharge at pumping station,NZ3946621661,GB103025072360,Billingham Beck from Bishopton Bck to Brierle,LETCH BECK,,,Not Applicable,Commissioned in 2019 - full year data expected,279.28,35,46.3,3 (installed 2019),99.96%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",,NZ3946621661,54.588609,-1.390802
Northumbrian Water,CAROLINE STREET CSO,6NW801128,EPRAB3593AS,EPRAB3593AS,,SO on sewer network,NZ2132828289,GB103024072730,Gaunless from Hummer Beck to Wear,RIVER GAUNLESS,,,Not Applicable,Commissioned pre-2016 - full year data expected,2.75,9,10.7,9 (installed 2013),99.99%,,,,,,,NZ2132828289,54.649258,-1.67099
Northumbrian Water,CASSOP STW,6NW800783,243/1016,243/1016,243/1016-02,Storm tank at WwTW,NZ3412038370,GB103024077470,Old Durham Beck from Chapman Beck to Wear,CHAPMAN BECK,,,Not Applicable,Commissioned in 2020 - full year data expected,25.00,12,22.0,3 (installed 2019),12.05%,Installation set-up/design issue,Resolved - Nov,,,,,NZ3412038370,54.739148,-1.47158
Northumbrian Water,CASTLE TERRACE 1 CSO,6NW800835,210/1356,210/1356,,SO on sewer network,NT9927653342,GB510202110000,TWEED,RIVER TWEED (SALINE ESTUARY),,Spittal,Not Applicable,Commissioned pre-2016 - full year data expected,154.70,57,36.9,10 (installed pre-2013),93.85%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_IMP4 driver - Stage 4: Potential spill reduction scheme - Not yet on current WINEP/AMP or Green Recovery,,NT9927653342,55.77341,-2.013109
Northumbrian Water,CASTLE TERRACE NO2 (BT341) CSO,6NW801679,NPSWQD000697,WQD000697,,SO on sewer network,NT9927653342,GB510202110000,TWEED,RIVER TWEED (SALINE ESTUARY),,Spittal,Not Applicable,Commissioned in 2017 - full year data expected,0.00,0,0.0,5 (installed 2017),99.88%,,,,,,,NT9927653342,55.77341,-2.013109
Northumbrian Water,CASTLE VALE SPS,6NW800457,210/1249,210/1249,A1,Storm discharge at pumping station,NT9937053234,3,River Tweed,RIVER TWEED (SALINE ESTUARY),,Spittal,Not Applicable,Commissioned in 2019 - full year data expected,0.24,1,0.5,4 (installed 2018),100%,,,,,,,NT9937053234,55.77244,-2.01161
Northumbrian Water,CASTLESIDE CSO,6NW800942,234/1105,234/1105,,SO on sewer network,NZ0886049980,GB103023074790,Derwent from Burnhope Burn to River Tyne,DENE BURN (RIVER DERWENT),,,Not Applicable,Commissioned pre-2016 - full year data expected,4.50,5,7.6,9 (installed 2013),98.86%,,,,,,,NZ0886049980,54.844555,-1.863557
Northumbrian Water,CASTLETON WALK CSO,6NW801555,254/1418,254/1418,,SO on sewer network,NZ4470715956,GB103025072595,Tees from Skerne to Tidal Limit,TEES,,,Not Applicable,Commissioned pre-2016 - full year data expected,4.97,12,14.0,10 (installed pre-2013),88.57%,Comms failure / issue,Resolved - Oct,,,,,NZ4470715956,54.536908,-1.310572
Northumbrian Water,CASTLETOWN WAY SPS,6NW800599,245/0937,245/0937,A1,Storm discharge at pumping station,NZ3687058200,9,River Wear,TRIB OF TIDAL WEAR,,,Not Applicable,Commissioned in 2020 - full year data expected,21.90,14,30.0,3 (installed 2019),100%,,,,,,,NZ3687058200,54.917146,-1.426351
Northumbrian Water,CATHEDRAL BANKS CSO,6NW800331,245/1336,245/1336,,SO on sewer network,NZ2725242302,GB103024077621,Wear from Croxdale Beck to Lumley Park Burn,RIVER WEAR,,,Not Applicable,Commissioned pre-2016 - full year data expected,3.00,9,1.4,10 (installed pre-2013),99.99%,,,,,,,NZ2725242302,54.7749,-1.577881
Northumbrian Water,CATHEDRAL BANKS CSO Barkers Haugh CSO3 Court Lane West,6NW801272,245/E/0659,245/E/0659,,SO on sewer network,NZ2759542214,GB103024077621,Wear from Croxdale Beck to Lumley Park Burn,River Wear,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,0.3,10 (installed pre-2013),99.99%,,,,,,,NZ2759542214,54.774091,-1.572557
Northumbrian Water,CATTLE MARKET B SSO,6NW801130,242/1045,242/1045,,SO on sewer network,NZ2145028980,GB103024072730,Gaunless from Hummer Beck to Wear,RIVER GAUNLESS,,,Not Applicable,Commissioned pre-2016 - full year data expected,297.25,58,59.1,10 (installed pre-2013),97.91%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_IMP4 driver - Stage 4: Potential spill reduction scheme - Not yet on current WINEP/AMP or Green Recovery,,NZ2145028980,54.655463,-1.669049
Northumbrian Water,CATTON LEA CSO,6NW800884,232/1001,232/1001,,SO on sewer network,NY8291057410,GB103023074710,Allen from Source to West Allen,RIVER EAST ALLEN TRIBUTARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,0.1,10 (installed pre-2013),99.99%,,,,,,,NY8291057410,54.911103,-2.268095
Northumbrian Water,CAUSEY STW,6NW800748,235/2007,235/2007,235/2007-02,Storm tank at WwTW,NZ2039056050,GB103023075670,Team from Source to Tyne,CAUSEY BURN,,,Not Applicable,Commissioned in 2020 - full year data expected,0.39,2,14.5,2 (installed 2020),99.99%,,,,,,,NZ2039056050,54.898767,-1.683587
Northumbrian Water,CEMETERY RD SSO,6NW801489,255/1057,255/1057,,SO on sewer network,NZ3775038875,GB103025075930,Castle Eden Burn from Source to North Sea,EDDERACRES BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,6.50,6,8.7,10 (installed pre-2013),44.04%,Comms failure / issue,Resolved - Sep,,,,,NZ3775038875,54.743428,-1.415138
Northumbrian Water,CEMETERY ROAD CSO,6NW801435,235/C/0047,235/C/0047,,SO on sewer network,NZ3306464319,GB103023075690,Don from Source to Tidal Limit,DON,,,Not Applicable,Commissioned pre-2016 - full year data expected,81.75,19,19.7,10 (installed pre-2013),93.72%,,,,,,,NZ3306464319,54.972397,-1.48502
Northumbrian Water,CHAPEL COURT DU068,6NW801653,245/1081,245/1081,,SO on sewer network,NZ3187241798,GB103024077490,Old Durham Beck from Source to Pittington Beck,SHERBURN HOUSE BECK,,,Not Applicable,Commissioned pre-2016 - full year data expected,15.75,11,48.8,9 (installed 2013),99.31%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_IMP4 driver - Stage 4: Potential spill reduction scheme - Not yet on current WINEP/AMP or Green Recovery,,NZ3187241798,54.7701,-1.506119
Northumbrian Water,CHAPEL STREET CSO,6NW801640,#TBC,Permit Anomaly,To be permitted for storm,SO on sewer network,NZ1946734630,GB103024077464,Wear from Gaunless to Browney,Willington Burn,,,Not Applicable,Commissioned pre-2016 - full year data expected,1.50,6,4.0,10 (installed pre-2013),99.85%,,,,,,,NZ1946734630,54.706317,-1.69941
Northumbrian Water,CHAPEL STREET CSO,6NW801075,243/0931,243/0931,,SO on sewer network,NZ2037430858,GB103024077464,Wear from Gaunless to Browney,WEAR TRIB,,,Not Applicable,Commissioned pre-2016 - full year data expected,1.00,3,6.2,10 (installed pre-2013),98.99%,,,,,,,NZ2037430858,54.672384,-1.685596
Northumbrian Water,CHAPEL STREET CSO BARRINGTON STREET,6NW801103,243/0930,243/0930,,SO on sewer network,NZ2037330858,GB103024077464,Wear from Gaunless to Browney,Unnamed tributary of the River Wear,,,Not Applicable,Commissioned pre-2016 - full year data expected,35.25,29,19.4,10 (installed pre-2013),84.10%,Comms failure / issue,Resolved - Jun,,,,,NZ2037330858,54.672384,-1.685611
Northumbrian Water,CHARE BANK CSO,6NW800958,234/1156,234/1156,,SO on sewer network,NZ1005055440,GB103023074790,Derwent from Burnhope Burn to River Tyne,RIVER DERWENT,,,Not Applicable,Commissioned pre-2016 - full year data expected,39.25,27,20.9,10 (installed pre-2013),84.77%,Installation set-up/design issue,Resolved - Jun,,,,,NZ1005055440,54.893598,-1.844839
Northumbrian Water,CHARLAW TERRACE CSO,6NW800296,245/1071,245/1071,,SO on sewer network,NZ2358647845,GB103024077623,South Burn to confluence with Wear,CULVERTED WATERC' TO BLACK BUR,,,Not Applicable,Commissioned in 2017 - full year data expected,0.00,0,3.8,5 (installed 2017),32.97%,Comms failure / issue,Resolved - January after reporting year,,,,,NZ2358647845,54.824896,-1.63442
Northumbrian Water,CHARLTON VILLAGE 1 SSO,6NW801617,25/06/1026,25/06/1026,,SO on sewer network,NZ6490015850,GB103025071970,Skelton Beck Catch (Saltburn) trib of North Sea,LITTLE BECK (SKELTON CATCHMEN),,,Not Applicable,Commissioned pre-2016 - full year data expected,1.00,2,2.2,10 (installed pre-2013),87.79%,Comms failure / issue,Resolved - May,,,,,NZ6490015850,54.533775,-0.99856
Northumbrian Water,CHATTON CSO,6NW800214,NPSWQD006661,NPSWQD006661,,SO on sewer network,NU0614028346,GB102021073042,Till from Roddam Burn to Glen,THE RIVER TILL,,,Not Applicable,Commissioned in 2018 - full year data expected,9.75,11,10.3,4 (installed 2018),86.29%,Comms failure / issue,Resolved - Aug,,,,,NU0614028346,55.54878,-1.904243
Northumbrian Water,CHATTON STW,6NW800688,210/0328,Permit Anomaly - STW permit 210/0328,To be permitted for storm,Inlet SO at WwTW,NU0597728706,GB102021073042,Till from Roddam Burn to Glen,River Till,,,Not Applicable,Commissioned in 2020 - full year data expected,4.50,3,1.5,2 (installed 2020),4.93%,Installation set-up/design issue,Resolved - Dec,,,,,NU0597728706,55.552017,-1.906819
Northumbrian Water,CHERRY BANKS CSO,6NW801283,245/1306,245/1306,,SO on sewer network,NZ2823452408,GB103024077624,Wear DS of Lumley Park Burn to Tidal Limit,WEAR TRIBUTARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,0.3,10 (installed pre-2013),99.99%,,,,,,,NZ2823452408,54.86566,-1.561634
Northumbrian Water,CHESTER LE STREET STW CSO Inlet,6NW800168,245/1242,245/1242,A3,Inlet SO at WwTW,NZ2805051740,GB103024077624,Wear DS of Lumley Park Burn to Tidal Limit,WEAR,,,Not Applicable,Commissioned in 2019 - full year data expected,,,3.0,3 (installed 2019),0%,Installation set-up/design issue,Resolved - January after reporting year,,,,,NZ2805051740,54.859668,-1.564565
Northumbrian Water,CHESTER LE STREET STW STORM TANK,6NW800768,245/1242,245/1242,A2,Storm tank at WwTW,NZ2805051740,GB103024077624,Wear DS of Lumley Park Burn to Tidal Limit,WEAR,,,Not Applicable,Commissioned in 2020 - full year data expected,342.38,41,54.5,2 (installed 2020),100%,,,N/A - Ongoing investigation,Scheduled,,,NZ2805051740,54.859668,-1.564565
Northumbrian Water,CHILTON LANE A CSO,6NW800445,253/1097,QR.25/03/1097,,SO on sewer network,NZ3044931749,GB103025072520,Carrs from Source to Skerne,TRIB OF THE CARRS RVR SKERNE,,,Not Applicable,Commissioned in 2016 - full year data expected,42.75,37,35.0,6 (installed 2016),90.25%,,,,,,,NZ3044931749,54.679885,-1.529284
Northumbrian Water,CHILTON LANE B SSO,6NW801358,253/1098,QR.25/03/1098,,SO on sewer network,NZ3063431202,GB103025072520,Carrs from Source to Skerne,River Skerne,,,Not Applicable,Commissioned pre-2016 - full year data expected,26.00,23,26.0,10 (installed pre-2013),99.99%,,,,,,,NZ3063431202,54.674958,-1.526472
Northumbrian Water,CHILTON LANE PS ,6NW800567,253/1287,253/1287,A1,Storm discharge at pumping station,NZ3090030910,GB103025072520,Carrs from Source to Skerne,MAINSFORTH STELL (SKERNE),,,Not Applicable,Commissioned in 2019 - full year data expected,153.94,16,52.8,4 (installed 2018),100%,,,Performance - Infiltration,Scheduled,,,NZ3090030910,54.672318,-1.522378
Northumbrian Water,CHOPWELL PARK FOOTPATH CSO,6NW801635,234/1123,234/1123,,SO on sewer network,NZ1200258113,GB103023074790,Derwent from Burnhope Burn to River Tyne,TONGUE BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.50,1,9.5,10 (installed pre-2013),93.19%,,,,,,,NZ1200258113,54.917576,-1.814295
Northumbrian Water,CHOPWELL ROAD CSO,6NW800980,234/1139,234/1139,,SO on sewer network,NZ1215656843,GB103023074790,Derwent from Burnhope Burn to River Tyne,RIVER DERWENT,,,Not Applicable,Commissioned pre-2016 - full year data expected,36.00,18,11.1,10 (installed pre-2013),99.83%,,,,,,,NZ1215656843,54.906159,-1.811946
Northumbrian Water,CHOWDENE CSO,6NW801210,235/F/0655,235/F/0655,,SO on sewer network,NZ2580559497,GB103023075670,Team from Source to Tyne,"TEAM, TRIBUTARY OF",,,Not Applicable,Commissioned pre-2016 - full year data expected,25.25,26,25.6,10 (installed pre-2013),99.85%,,,,,,,NZ2580559497,54.929493,-1.598845
